"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Text Editing","Delete Line","Ctrl+D","Embedded Xtext Editor context"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Editing","Select Next Element","Shift+Alt+Right","Editing Xtext Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Perspectives","Show Perspective (mCode2)","Alt+3","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","Editing Xtend Source"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"StartExplorer","Copy Resource Path to Clipboard","Ctrl+Alt+C","In Windows"
"Source","References in Working Set","Ctrl+W","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Embedded Xtext Editor context"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Widget in Focus"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Embedded Xtext Editor context"
